age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,AnnualIncome,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
42,No,Non-Travel,1102,IT-Infra,1,3,Technical Degree,1,1,2,Male,66,2,3,Manager ,4,Married,11440,137280,5,Yes,Yes,18,1,1,40,0,19,0,3,19,5,5,5
43,No,Non-Travel,279,Sales,8,4,Project Management,1,2,3,Male,97,2,4,Vice President ,3,Married,16813,201760,8,Yes,No,24,4,3,40,1,9,3,2,9,2,2,2
38,No,Non-Travel,1373,Mechanical Systems/Detail Engineering,2,3,Technical Degree,1,3,4,Male,80,4,3,Project Manager ,2,Married,13867,166400,6,Yes,Yes,24,3,4,40,0,18,3,1,18,5,5,5
43,No,Non-Travel,1392,Sales,3,4,Project Management,1,4,4,Male,96,4,4,Assistant Vice-President ,3,Married,16640,199680,7,Yes,Yes,25,3,4,40,0,12,3,2,12,3,3,3
42,No,Non-Travel,591,Sales,2,4,Project Management,1,5,1,Male,73,3,3,Senior Manager ,4,Married,12653,151840,3,Yes,No,16,3,3,40,1,14,3,3,14,4,4,4
40,No,Non-Travel,1005,Program Management,2,4,Project Management,1,6,4,Male,61,1,3,Program Manager ,2,Married,10573,126880,3,Yes,No,20,2,2,40,0,9,2,3,9,2,2,2
49,No,Non-Travel,1324,Mechanical Systems/Detail Engineering,3,3,Technical Degree,1,7,3,Male,53,3,2,Senior Lead Engineer ,1,Married,9187,110240,4,Yes,Yes,19,4,1,40,3,4,3,2,4,1,1,1
43,No,Non-Travel,1358,Sales,24,4,Project Management,1,8,4,Male,62,2,3,Senior Manager ,2,Divorced,10747,128960,5,Yes,No,18,3,1,40,1,11,2,2,11,3,3,3
40,No,Non-Travel,216,Operations Controller,23,4,Project Management,1,9,4,Male,61,2,3,Manager ,3,Married,10573,126880,4,Yes,No,21,3,1,40,0,4,2,4,4,1,1,1
43,No,Non-Travel,1299,Lifecycle Solutions/Engineering Process Services,27,3,Technical Degree,1,10,3,Male,60,3,2,Project Leader ,1,Married,10400,124800,6,Yes,No,14,4,2,40,2,6,3,3,6,2,2,2
38,No,Non-Travel,809,Program Management,16,4,Project Management,1,11,1,Male,77,3,3,Program Manager ,1,Married,13347,160160,5,Yes,No,12,4,2,40,1,7,5,3,7,2,2,2
52,No,Non-Travel,153,Program Management,15,4,Project Management,1,12,4,Male,96,3,4,Vice President ,4,Married,16640,199680,6,Yes,Yes,11,2,4,40,0,21,3,4,21,5,5,5
48,No,Non-Travel,670,Program Management,26,4,Project Management,1,13,1,Male,63,4,3,Centre Manager ,2,Divorced,10920,131040,4,Yes,No,19,1,1,40,1,16,1,3,16,4,4,4
