Employeeid,Age,Experience,EducationField,City,Department,Job_Title,Gender,NumCompaniesWorked,Attrition,Attrition_num
101117,42,19,M.Tech/M.E.,Ahmedabad,Legal,Manager ,Male,5,No,0
101165,43,9,MBA/PGDM,Chennai,Engineering,Vice President ,Male,8,No,0
101168,38,18,Ph.D/Doctorate,Ahmedabad,Services,Project Manager ,Male,6,No,0
101188,43,12,MBA/PGDM,Ahmedabad,Business Development,Assistant Vice-President ,Male,7,No,0
101217,42,14,Ph.D/Doctorate,Chennai,Human Resources,Senior Manager ,Male,3,No,0
101230,40,9,MBA/PGDM,Bangalore,Research and Development,Program Manager ,Male,3,No,0
101232,49,4,Ph.D/Doctorate,Chennai,Research and Development,Senior Lead Engineer ,Male,4,No,0
101290,43,11,Ph.D/Doctorate,Delhi,Product Management,Senior Manager ,Male,5,No,0
101300,40,4,M.Tech/M.E.,Ahmedabad,Legal,Manager ,Male,4,No,0
101574,43,6,Ph.D/Doctorate,Kolkata,Sales,Project Leader ,Male,6,No,0
101576,38,7,Ph.D/Doctorate,Bangalore,Product Management,Program Manager ,Male,5,No,0
101698,52,21,M.Tech/M.E.,Kolkata,Services,Vice President ,Male,6,No,0
101712,48,16,Other degrees,Hyderabad,Human Resources,Centre Manager ,Male,4,No,0
101714,38,15,M.Tech/M.E.,Bangalore,Research and Development,Manager ,Female,6,No,0
101721,45,15,MBA/PGDM,Ahmedabad,Sales,Technical Manager ,Male,6,No,0
101749,37,14,M.Tech/M.E.,Kolkata,Training,Centre Manager ,Male,3,No,0
101759,55,13,Other degrees,Chennai,Support,Assistant Vice-President ,Male,8,No,0
101761,37,13,B.Tech/B.E.,Ahmedabad,Accounting,Program Manager ,Male,4,No,0
101822,37,13,MBA/PGDM,Hyderabad,Services,Senior Manager ,Male,4,No,0
101841,38,13,M.Tech/M.E.,Hyderabad,Business Development,Centre Manager ,Male,5,No,0
101952,39,3,MBA/PGDM,Hyderabad,Product Management,Senior Lead Engineer ,Male,5,No,0
102045,49,12,Other degrees,Chennai,Human Resources,Centre Manager ,Female,6,No,0
102046,48,12,M.Tech/M.E.,Delhi,Support,Project Leader ,Male,0,No,0
102049,42,5,MBA/PGDM,Delhi,Accounting,Senior Engineer ,Male,5,No,0
102090,39,8,B.Tech/B.E.,Hyderabad,Services,Project Manager ,Male,5,No,0
102091,37,10,MBA/PGDM,Ahmedabad,Research and Development,Project Leader ,Male,4,No,0
102100,38,1,B.Tech/B.E.,Kolkata,Product Management,Senior Lead Engineer ,Male,5,No,0
102125,64,12,Other degrees,Kolkata,Human Resources,Lead Engineer  ,Female,6,Yes,1
